           h                   log(h)                     E(h)
1.519757e-004 -8.791790e+000 1.705571e-004
1.522070e-004 -8.790269e+000 1.708167e-004
1.524390e-004 -8.788746e+000 1.710771e-004
1.526718e-004 -8.787220e+000 1.713383e-004
1.529052e-004 -8.785692e+000 1.716003e-004
1.531394e-004 -8.784162e+000 1.718631e-004
1.533742e-004 -8.782630e+000 1.721268e-004
1.536098e-004 -8.781095e+000 1.723912e-004
1.538462e-004 -8.779557e+000 1.726564e-004
1.540832e-004 -8.778018e+000 1.729225e-004
1.543210e-004 -8.776476e+000 1.731893e-004
1.545595e-004 -8.774931e+000 1.734570e-004
1.547988e-004 -8.773385e+000 1.737256e-004
1.550388e-004 -8.771835e+000 1.739949e-004
1.552795e-004 -8.770284e+000 1.742651e-004
1.555210e-004 -8.768730e+000 1.745362e-004
1.557632e-004 -8.767173e+000 1.748081e-004
1.560062e-004 -8.765615e+000 1.750808e-004
1.562500e-004 -8.764053e+000 1.753544e-004
1.564945e-004 -8.762490e+000 1.756288e-004
1.567398e-004 -8.760923e+000 1.759041e-004
1.569859e-004 -8.759355e+000 1.761803e-004
1.572327e-004 -8.757784e+000 1.764573e-004
1.574803e-004 -8.756210e+000 1.767352e-004
1.577287e-004 -8.754634e+000 1.770140e-004
1.579779e-004 -8.753056e+000 1.772937e-004
1.582278e-004 -8.751474e+000 1.775742e-004
1.584786e-004 -8.749891e+000 1.778557e-004
1.587302e-004 -8.748305e+000 1.781380e-004
1.589825e-004 -8.746716e+000 1.784212e-004
1.592357e-004 -8.745125e+000 1.787054e-004
1.594896e-004 -8.743532e+000 1.789904e-004
1.597444e-004 -8.741935e+000 1.792764e-004
1.600000e-004 -8.740337e+000 1.795632e-004
1.602564e-004 -8.738735e+000 1.798510e-004
1.605136e-004 -8.737132e+000 1.801397e-004
1.607717e-004 -8.735525e+000 1.804293e-004
1.610306e-004 -8.733916e+000 1.807199e-004
1.612903e-004 -8.732305e+000 1.810114e-004
1.615509e-004 -8.730690e+000 1.813039e-004
1.618123e-004 -8.729074e+000 1.815973e-004
1.620746e-004 -8.727454e+000 1.818916e-004
1.623377e-004 -8.725832e+000 1.821869e-004
1.626016e-004 -8.724207e+000 1.824832e-004
1.628664e-004 -8.722580e+000 1.827804e-004
1.631321e-004 -8.720950e+000 1.830786e-004
1.633987e-004 -8.719317e+000 1.833778e-004
1.636661e-004 -8.717682e+000 1.836779e-004
1.639344e-004 -8.716044e+000 1.839791e-004
1.642036e-004 -8.714403e+000 1.842812e-004
1.644737e-004 -8.712760e+000 1.845843e-004
1.647446e-004 -8.711114e+000 1.848884e-004
1.650165e-004 -8.709465e+000 1.851935e-004
1.652893e-004 -8.707814e+000 1.854997e-004
1.655629e-004 -8.706159e+000 1.858068e-004
1.658375e-004 -8.704502e+000 1.861150e-004
1.661130e-004 -8.702843e+000 1.864242e-004
1.663894e-004 -8.701180e+000 1.867344e-004
1.666667e-004 -8.699515e+000 1.870456e-004
1.669449e-004 -8.697847e+000 1.873579e-004
1.672241e-004 -8.696176e+000 1.876713e-004
1.675042e-004 -8.694502e+000 1.879856e-004
1.677852e-004 -8.692826e+000 1.883011e-004
1.680672e-004 -8.691146e+000 1.886176e-004
1.683502e-004 -8.689464e+000 1.889351e-004
1.686341e-004 -8.687779e+000 1.892538e-004
1.689189e-004 -8.686092e+000 1.895735e-004
1.692047e-004 -8.684401e+000 1.898943e-004
1.694915e-004 -8.682708e+000 1.902162e-004
1.697793e-004 -8.681011e+000 1.905391e-004
1.700680e-004 -8.679312e+000 1.908632e-004
1.703578e-004 -8.677610e+000 1.911884e-004
1.706485e-004 -8.675905e+000 1.915147e-004
1.709402e-004 -8.674197e+000 1.918421e-004
1.712329e-004 -8.672486e+000 1.921706e-004
