           h                   log(h)                     E(h)
1.420455e-004 -8.859363e+000 6.131901e-009
1.422475e-004 -8.857942e+000 6.149291e-009
1.424501e-004 -8.856518e+000 6.166833e-009
1.426534e-004 -8.855093e+000 6.184484e-009
1.428571e-004 -8.853665e+000 6.202168e-009
1.430615e-004 -8.852236e+000 6.219953e-009
1.432665e-004 -8.850804e+000 6.237759e-009
1.434720e-004 -8.849371e+000 6.255685e-009
1.436782e-004 -8.847935e+000 6.273645e-009
1.438849e-004 -8.846497e+000 6.291764e-009
1.440922e-004 -8.845057e+000 6.309905e-009
1.443001e-004 -8.843615e+000 6.328094e-009
1.445087e-004 -8.842171e+000 6.346411e-009
1.447178e-004 -8.840725e+000 6.364714e-009
1.449275e-004 -8.839277e+000 6.383237e-009
1.451379e-004 -8.837826e+000 6.401798e-009
1.453488e-004 -8.836374e+000 6.420407e-009
1.455604e-004 -8.834919e+000 6.439046e-009
1.457726e-004 -8.833463e+000 6.457838e-009
1.459854e-004 -8.832004e+000 6.476756e-009
1.461988e-004 -8.830543e+000 6.495726e-009
1.464129e-004 -8.829080e+000 6.514748e-009
1.466276e-004 -8.827615e+000 6.533891e-009
1.468429e-004 -8.826147e+000 6.553088e-009
1.470588e-004 -8.824678e+000 6.572377e-009
1.472754e-004 -8.823206e+000 6.591719e-009
1.474926e-004 -8.821732e+000 6.611186e-009
1.477105e-004 -8.820256e+000 6.630666e-009
1.479290e-004 -8.818778e+000 6.650312e-009
1.481481e-004 -8.817298e+000 6.670079e-009
1.483680e-004 -8.815815e+000 6.689857e-009
1.485884e-004 -8.814330e+000 6.709777e-009
1.488095e-004 -8.812843e+000 6.729703e-009
1.490313e-004 -8.811354e+000 6.749814e-009
1.492537e-004 -8.809863e+000 6.769951e-009
1.494768e-004 -8.808369e+000 6.790202e-009
1.497006e-004 -8.806873e+000 6.810632e-009
1.499250e-004 -8.805375e+000 6.831071e-009
1.501502e-004 -8.803875e+000 6.851542e-009
1.503759e-004 -8.802372e+000 6.872132e-009
1.506024e-004 -8.800867e+000 6.892858e-009
1.508296e-004 -8.799360e+000 6.913708e-009
1.510574e-004 -8.797851e+000 6.934649e-009
1.512859e-004 -8.796339e+000 6.955607e-009
1.515152e-004 -8.794825e+000 6.976745e-009
1.517451e-004 -8.793309e+000 6.997853e-009
1.519757e-004 -8.791790e+000 7.019169e-009
1.522070e-004 -8.790269e+000 7.040550e-009
1.524390e-004 -8.788746e+000 7.062092e-009
1.526718e-004 -8.787220e+000 7.083611e-009
1.529052e-004 -8.785692e+000 7.105316e-009
1.531394e-004 -8.784162e+000 7.127055e-009
1.533742e-004 -8.782630e+000 7.148903e-009
1.536098e-004 -8.781095e+000 7.170923e-009
1.538462e-004 -8.779557e+000 7.192990e-009
1.540832e-004 -8.778018e+000 7.215166e-009
1.543210e-004 -8.776476e+000 7.237470e-009
1.545595e-004 -8.774931e+000 7.259907e-009
1.547988e-004 -8.773385e+000 7.282333e-009
1.550388e-004 -8.771835e+000 7.304981e-009
1.552795e-004 -8.770284e+000 7.327717e-009
1.555210e-004 -8.768730e+000 7.350502e-009
1.557632e-004 -8.767173e+000 7.373372e-009
1.560062e-004 -8.765615e+000 7.396475e-009
1.562500e-004 -8.764053e+000 7.419574e-009
1.564945e-004 -8.762490e+000 7.442760e-009
1.567398e-004 -8.760923e+000 7.466159e-009
1.569859e-004 -8.759355e+000 7.489624e-009
1.572327e-004 -8.757784e+000 7.513186e-009
1.574803e-004 -8.756210e+000 7.536819e-009
1.577287e-004 -8.754634e+000 7.560688e-009
1.579779e-004 -8.753056e+000 7.584588e-009
1.582278e-004 -8.751474e+000 7.608578e-009
1.584786e-004 -8.749891e+000 7.632688e-009
1.587302e-004 -8.748305e+000 7.657005e-009
1.589825e-004 -8.746716e+000 7.681314e-009
1.592357e-004 -8.745125e+000 7.705772e-009
1.594896e-004 -8.743532e+000 7.730444e-009
1.597444e-004 -8.741935e+000 7.755107e-009
1.600000e-004 -8.740337e+000 7.779931e-009
1.602564e-004 -8.738735e+000 7.804926e-009
1.605136e-004 -8.737132e+000 7.829955e-009
1.607717e-004 -8.735525e+000 7.855229e-009
1.610306e-004 -8.733916e+000 7.880550e-009
1.612903e-004 -8.732305e+000 7.905985e-009
1.615509e-004 -8.730690e+000 7.931544e-009
1.618123e-004 -8.729074e+000 7.957224e-009
1.620746e-004 -8.727454e+000 7.983058e-009
1.623377e-004 -8.725832e+000 8.008999e-009
1.626016e-004 -8.724207e+000 8.035061e-009
1.628664e-004 -8.722580e+000 8.061258e-009
1.631321e-004 -8.720950e+000 8.087521e-009
1.633987e-004 -8.719317e+000 8.114007e-009
1.636661e-004 -8.717682e+000 8.140573e-009
1.639344e-004 -8.716044e+000 8.167266e-009
1.642036e-004 -8.714403e+000 8.194120e-009
1.644737e-004 -8.712760e+000 8.221085e-009
1.647446e-004 -8.711114e+000 8.248263e-009
1.650165e-004 -8.709465e+000 8.275498e-009
1.652893e-004 -8.707814e+000 8.302889e-009
1.655629e-004 -8.706159e+000 8.330408e-009
1.658375e-004 -8.704502e+000 8.358005e-009
1.661130e-004 -8.702843e+000 8.385761e-009
1.663894e-004 -8.701180e+000 8.413772e-009
1.666667e-004 -8.699515e+000 8.441839e-009
1.669449e-004 -8.697847e+000 8.470045e-009
1.672241e-004 -8.696176e+000 8.498351e-009
1.675042e-004 -8.694502e+000 8.526859e-009
1.677852e-004 -8.692826e+000 8.555459e-009
1.680672e-004 -8.691146e+000 8.584255e-009
1.683502e-004 -8.689464e+000 8.613236e-009
1.686341e-004 -8.687779e+000 8.642259e-009
1.689189e-004 -8.686092e+000 8.671530e-009
1.692047e-004 -8.684401e+000 8.700915e-009
1.694915e-004 -8.682708e+000 8.730355e-009
1.697793e-004 -8.681011e+000 8.760087e-009
1.700680e-004 -8.679312e+000 8.789915e-009
1.703578e-004 -8.677610e+000 8.819848e-009
1.706485e-004 -8.675905e+000 8.850005e-009
1.709402e-004 -8.674197e+000 8.880239e-009
1.712329e-004 -8.672486e+000 8.910745e-009
1.715266e-004 -8.670772e+000 8.941316e-009
1.718213e-004 -8.669056e+000 8.972056e-009
1.721170e-004 -8.667336e+000 9.002928e-009
1.724138e-004 -8.665613e+000 9.034087e-009
1.727116e-004 -8.663888e+000 9.065260e-009
1.730104e-004 -8.662159e+000 9.096709e-009
1.733102e-004 -8.660427e+000 9.128199e-009
1.736111e-004 -8.658693e+000 9.159907e-009
1.739130e-004 -8.656955e+000 9.191857e-009
1.742160e-004 -8.655214e+000 9.223879e-009
1.745201e-004 -8.653471e+000 9.256149e-009
1.748252e-004 -8.651724e+000 9.288516e-009
1.751313e-004 -8.649974e+000 9.321023e-009
1.754386e-004 -8.648221e+000 9.353778e-009
1.757469e-004 -8.646466e+000 9.386729e-009
1.760563e-004 -8.644707e+000 9.419746e-009
1.763668e-004 -8.642944e+000 9.453089e-009
1.766784e-004 -8.641179e+000 9.486448e-009
1.769912e-004 -8.639411e+000 9.520131e-009
1.773050e-004 -8.637639e+000 9.553857e-009
1.776199e-004 -8.635865e+000 9.587888e-009
1.779359e-004 -8.634087e+000 9.622024e-009
1.782531e-004 -8.632306e+000 9.656368e-009
1.785714e-004 -8.630522e+000 9.690823e-009
1.788909e-004 -8.628735e+000 9.725533e-009
1.792115e-004 -8.626944e+000 9.760464e-009
1.795332e-004 -8.625150e+000 9.795554e-009
1.798561e-004 -8.623353e+000 9.830767e-009
1.801802e-004 -8.621553e+000 9.866252e-009
1.805054e-004 -8.619750e+000 9.901895e-009
1.808318e-004 -8.617943e+000 9.937703e-009
1.811594e-004 -8.616133e+000 9.973802e-009
1.814882e-004 -8.614320e+000 1.001000e-008
1.818182e-004 -8.612503e+000 1.004646e-008
1.821494e-004 -8.610684e+000 1.008312e-008
1.824818e-004 -8.608860e+000 1.011994e-008
1.828154e-004 -8.607034e+000 1.015698e-008
1.831502e-004 -8.605204e+000 1.019419e-008
1.834862e-004 -8.603371e+000 1.023161e-008
1.838235e-004 -8.601534e+000 1.026924e-008
1.841621e-004 -8.599694e+000 1.030716e-008
1.845018e-004 -8.597851e+000 1.034517e-008
1.848429e-004 -8.596004e+000 1.038347e-008
1.851852e-004 -8.594154e+000 1.042200e-008
1.855288e-004 -8.592301e+000 1.046071e-008
1.858736e-004 -8.590444e+000 1.049965e-008
1.862197e-004 -8.588583e+000 1.053877e-008
1.865672e-004 -8.586719e+000 1.057814e-008
1.869159e-004 -8.584852e+000 1.061770e-008
1.872659e-004 -8.582981e+000 1.065752e-008
1.876173e-004 -8.581107e+000 1.069756e-008
1.879699e-004 -8.579229e+000 1.073776e-008
1.883239e-004 -8.577347e+000 1.077823e-008
1.886792e-004 -8.575462e+000 1.081899e-008
1.890359e-004 -8.573574e+000 1.085995e-008
1.893939e-004 -8.571681e+000 1.090106e-008
1.897533e-004 -8.569786e+000 1.094247e-008
1.901141e-004 -8.567886e+000 1.098417e-008
1.904762e-004 -8.565983e+000 1.102604e-008
1.908397e-004 -8.564077e+000 1.106815e-008
1.912046e-004 -8.562167e+000 1.111055e-008
1.915709e-004 -8.560253e+000 1.115316e-008
1.919386e-004 -8.558335e+000 1.119601e-008
1.923077e-004 -8.556414e+000 1.123906e-008
1.926782e-004 -8.554489e+000 1.128242e-008
1.930502e-004 -8.552560e+000 1.132607e-008
1.934236e-004 -8.550628e+000 1.136989e-008
1.937984e-004 -8.548692e+000 1.141399e-008
1.941748e-004 -8.546752e+000 1.145837e-008
1.945525e-004 -8.544808e+000 1.150302e-008
1.949318e-004 -8.542861e+000 1.154787e-008
1.953125e-004 -8.540910e+000 1.159304e-008
1.956947e-004 -8.538955e+000 1.163846e-008
1.960784e-004 -8.536996e+000 1.168414e-008
1.964637e-004 -8.535033e+000 1.173010e-008
1.968504e-004 -8.533067e+000 1.177638e-008
1.972387e-004 -8.531096e+000 1.182287e-008
1.976285e-004 -8.529122e+000 1.186963e-008
1.980198e-004 -8.527144e+000 1.191668e-008
1.984127e-004 -8.525161e+000 1.196401e-008
1.988072e-004 -8.523175e+000 1.201161e-008
1.992032e-004 -8.521185e+000 1.205956e-008
1.996008e-004 -8.519191e+000 1.210772e-008
2.000000e-004 -8.517193e+000 1.215623e-008
2.004008e-004 -8.515191e+000 1.220496e-008
2.008032e-004 -8.513185e+000 1.225401e-008
2.012072e-004 -8.511175e+000 1.230342e-008
2.016129e-004 -8.509161e+000 1.235304e-008
2.020202e-004 -8.507143e+000 1.240302e-008
2.024291e-004 -8.505121e+000 1.245326e-008
2.028398e-004 -8.503094e+000 1.250385e-008
2.032520e-004 -8.501064e+000 1.255473e-008
2.036660e-004 -8.499029e+000 1.260597e-008
2.040816e-004 -8.496990e+000 1.265743e-008
2.044990e-004 -8.494948e+000 1.270928e-008
2.049180e-004 -8.492900e+000 1.276141e-008
2.053388e-004 -8.490849e+000 1.281384e-008
2.057613e-004 -8.488794e+000 1.286663e-008
2.061856e-004 -8.486734e+000 1.291974e-008
2.066116e-004 -8.484670e+000 1.297322e-008
2.070393e-004 -8.482602e+000 1.302697e-008
2.074689e-004 -8.480529e+000 1.308110e-008
2.079002e-004 -8.478452e+000 1.313557e-008
2.083333e-004 -8.476371e+000 1.319031e-008
2.087683e-004 -8.474286e+000 1.324546e-008
2.092050e-004 -8.472196e+000 1.330096e-008
2.096436e-004 -8.470102e+000 1.335675e-008
2.100840e-004 -8.468003e+000 1.341294e-008
2.105263e-004 -8.465900e+000 1.346949e-008
2.109705e-004 -8.463792e+000 1.352639e-008
2.114165e-004 -8.461680e+000 1.358360e-008
2.118644e-004 -8.459564e+000 1.364124e-008
2.123142e-004 -8.457443e+000 1.369923e-008
2.127660e-004 -8.455318e+000 1.375760e-008
2.132196e-004 -8.453188e+000 1.381632e-008
2.136752e-004 -8.451053e+000 1.387543e-008
2.141328e-004 -8.448914e+000 1.393491e-008
2.145923e-004 -8.446771e+000 1.399477e-008
2.150538e-004 -8.444622e+000 1.405501e-008
2.155172e-004 -8.442470e+000 1.411566e-008
2.159827e-004 -8.440312e+000 1.417676e-008
2.164502e-004 -8.438150e+000 1.423815e-008
2.169197e-004 -8.435983e+000 1.430004e-008
2.173913e-004 -8.433812e+000 1.436223e-008
2.178649e-004 -8.431635e+000 1.442488e-008
2.183406e-004 -8.429454e+000 1.448794e-008
2.188184e-004 -8.427268e+000 1.455141e-008
2.192982e-004 -8.425078e+000 1.461531e-008
2.197802e-004 -8.422883e+000 1.467966e-008
2.202643e-004 -8.420682e+000 1.474439e-008
2.207506e-004 -8.418477e+000 1.480952e-008
2.212389e-004 -8.416267e+000 1.487511e-008
2.217295e-004 -8.414052e+000 1.494115e-008
2.222222e-004 -8.411833e+000 1.500764e-008
2.227171e-004 -8.409608e+000 1.507456e-008
2.232143e-004 -8.407378e+000 1.514197e-008
2.237136e-004 -8.405144e+000 1.520980e-008
2.242152e-004 -8.402904e+000 1.527808e-008
2.247191e-004 -8.400659e+000 1.534677e-008
2.252252e-004 -8.398410e+000 1.541598e-008
